PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
CC ALDI;NORMAL;41,321165;2,027702;Barcelona;Viladecans;4
Desconegut;semiRAPID;40,80762;0,52007;Tarragona;Tortosa;1
HOTEL NH CONSTANZA;NORMAL;41,38455;2,1376713;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,394009;2,115265;Barcelona;Barcelona;8
B:SM Serveis Municipals;NORMAL;41,4047;2,1896;Barcelona;Barcelona;4
Desconegut;semiRAPID;41,66519;1,86011;Barcelona;Sant Vicen de Castellet;2
Viena, Sprinter i Norauto;semiRAPID i NORMAL;41,3354;1,68557;Barcelona;Vilafranca del Peneds;2
Aparcament La Farola;NORMAL;41,7287941;1,8245564;Barcelona;Manresa;2
Ajuntament de Matar;semiRAPID;41,54453;2,44115;Barcelona;Matar;4
Ajuntament de Manresa;semiRAPID i NORMAL;41,73682408;1,82836016;Barcelona;Manresa;1
CC CARREFOUR Tarragona;NORMAL;41,12742844;1,20686397;Tarragona;Tarragona;2
B:SM Serveis Municipals;NORMAL;41,401478;2,156578;Barcelona;Barcelona;1
Desconegut;semiRAPID;41,38966;2,13507;Barcelona;Barcelona;4
Institut Catal d'Energia i Ajuntament de Cabrera de Mar;RAPID;41,5261;2,39407;Barcelona;Cabrera de Mar;2
IBIL;semiRAPID i NORMAL;41,56430879;2,035557926;Barcelona;Terrassa;2
ENGESTUR;NORMAL;41,45252772;2,249290201;Barcelona;Badalona;6
Desconegut;semiRAPID;41,37631;2,14932;Barcelona;Barcelona;4
Desconegut;semiRAPID i NORMAL;41,15188;1,21437;Tarragona;Constant;2
Institut Catal d'Energia i Vandells i l'Hospitalet de l'Infant;RAPID;40,99197;0,92147;Tarragona;Vandells i l'Hospitalet i l'infant;2
B:SM Serveis Municipals;NORMAL;41,3885;2,1983;Barcelona;Barcelona;3
PETREM;RAPID;41,98951;2,79539;Girona;Girona;2
B:SM Serveis Municipals;NORMAL;41,430428;2,187965;Barcelona;Barcelona;3
ESSER;RAPID;41,71353;2,83089;Barcelona;Lloret de Mar;2
Circuit de Catalunya i TESLA;semiRAPID;41,57015;2,25876;Barcelona;Montmel;3
B:SM Serveis Municipals;NORMAL;41,385654;2,177128;Barcelona;Barcelona;1
