Mida;Cost;Desviacio
1000;224,270996;162,843371
2000;414,39151;325,542815
3000;645,765991;487,783864
4000;870,407471;662,432974
5000;1094,706421;822,791912
6000;1294,210449;994,229589
7000;1541,218262;1153,358543
8000;1722,44397;1321,15886
9000;1926,028931;1487,712855
10000;2168,374512;1662,795219
11000;2399,328613;1833,69669
12000;2622,093018;2004,544915
13000;2796,19751;2174,654768
14000;3026,482178;2340,583078
15000;3245,683838;2493,670841
16000;3439,347656;2655,163985
17000;3637,335938;2804,051082
18000;3896,230225;2996,82571
19000;4093,864502;3148,855855
20000;4320,798828;3325,634845
21000;4552,114258;3474,321656
22000;4782,359375;3653,335979
23000;4903,05957;3797,561372
24000;5252,084961;3992,748666
25000;5463,82959;4173,778035
26000;5620,201172;4331,135945
27000;5834,142578;4478,652306
28000;6079,706055;4662,00545
29000;6250,018555;4817,672153
30000;6469,181152;4961,653817
31000;6653,583984;5118,632729
32000;6934,833008;5300,965386
33000;7159,128418;5493,174858
34000;7369,65918;5624,372405
35000;7551,422363;5781,892688
36000;7729,89502;5942,133334
37000;8030,01709;6166,834837
38000;8219,49707;6293,20093
39000;8424,883789;6505,508574
40000;8683,503906;6643,354976
41000;8808,710938;6821,110528
42000;9067,832031;6998,961776
43000;9263,194336;7106,826586
44000;9530,920898;7295,844348
45000;9733,082031;7501,602875
46000;9933,325195;7632,783959
47000;10194,58594;7828,892099
48000;10329,10254;7920,479111
49000;10644,45215;8126,960584
50000;10883,12402;8306,983653
